workload,prompt_idx,policy,error_type,K,accepted_or_entropy
humaneval,16,fixed_1,Under-Drafting,1,0.06717399507761002
humaneval,16,fixed_1,Under-Drafting,1,0.12042500078678131
humaneval,16,fixed_1,Under-Drafting,1,0.14481423795223236
humaneval,16,fixed_1,Under-Drafting,1,0.0032701618038117886
humaneval,16,fixed_1,Under-Drafting,1,0.19959087669849396
humaneval,16,fixed_1,Under-Drafting,1,0.004155059810727835
humaneval,16,fixed_1,Under-Drafting,1,0.0018331597093492746
humaneval,16,fixed_1,Under-Drafting,1,0.04159212484955788
humaneval,16,fixed_1,Under-Drafting,1,0.006416714750230312
humaneval,16,fixed_1,Under-Drafting,1,0.021112456917762756
humaneval,16,fixed_1,Under-Drafting,1,0.0850553810596466
humaneval,16,fixed_1,Under-Drafting,1,0.0010627333540469408
humaneval,16,fixed_1,Under-Drafting,1,0.0013392954133450985
humaneval,16,fixed_1,Under-Drafting,1,0.1297042965888977
humaneval,17,fixed_1,Under-Drafting,1,0.07292738556861877
humaneval,17,fixed_1,Under-Drafting,1,0.02209385111927986
humaneval,17,fixed_1,Under-Drafting,1,0.1462000012397766
humaneval,17,fixed_1,Under-Drafting,1,0.1876719892024994
humaneval,17,fixed_1,Under-Drafting,1,0.19834928214550018
humaneval,17,fixed_1,Under-Drafting,1,0.05542359873652458
humaneval,17,fixed_1,Under-Drafting,1,0.06621065735816956
humaneval,17,fixed_1,Under-Drafting,1,0.04953832924365997
humaneval,17,fixed_1,Under-Drafting,1,0.13674533367156982
humaneval,17,fixed_1,Under-Drafting,1,0.19965523481369019
humaneval,17,fixed_1,Under-Drafting,1,0.1967228353023529
humaneval,17,fixed_1,Under-Drafting,1,0.07709486782550812
humaneval,17,fixed_1,Under-Drafting,1,0.011477340012788773
humaneval,17,fixed_1,Under-Drafting,1,0.076678067445755
humaneval,17,fixed_1,Under-Drafting,1,0.0059916237369179726
humaneval,17,fixed_1,Under-Drafting,1,0.04402066022157669
humaneval,17,fixed_1,Under-Drafting,1,0.013882898725569248
humaneval,17,fixed_1,Under-Drafting,1,0.09651048481464386
humaneval,17,fixed_1,Under-Drafting,1,0.04320397973060608
humaneval,17,fixed_1,Under-Drafting,1,0.17159108817577362
humaneval,17,fixed_1,Under-Drafting,1,0.025545476004481316
humaneval,17,fixed_1,Under-Drafting,1,0.1666339784860611
humaneval,17,fixed_1,Under-Drafting,1,0.01595754362642765
humaneval,17,fixed_1,Under-Drafting,1,0.03323109820485115
humaneval,18,fixed_1,Under-Drafting,1,0.1914321780204773
humaneval,18,fixed_1,Under-Drafting,1,0.04498105123639107
humaneval,18,fixed_1,Under-Drafting,1,0.006481989752501249
humaneval,18,fixed_1,Under-Drafting,1,0.19502563774585724
humaneval,18,fixed_1,Under-Drafting,1,0.10255435109138489
humaneval,18,fixed_1,Under-Drafting,1,0.12018360197544098
humaneval,18,fixed_1,Under-Drafting,1,0.052054427564144135
humaneval,18,fixed_1,Under-Drafting,1,0.19683809578418732
humaneval,18,fixed_1,Under-Drafting,1,0.0033212900161743164
humaneval,18,fixed_1,Under-Drafting,1,0.04680197685956955
humaneval,18,fixed_1,Under-Drafting,1,0.09389583766460419
humaneval,18,fixed_1,Under-Drafting,1,0.0862947627902031
humaneval,18,fixed_1,Under-Drafting,1,0.18389494717121124
humaneval,18,fixed_1,Under-Drafting,1,0.04158739000558853
humaneval,18,fixed_1,Under-Drafting,1,0.030797820538282394
humaneval,18,fixed_1,Under-Drafting,1,0.0026064442936331034
